0.3   1.09404   2.7073   0.1   
0.355087   1.134   2.69679   0.0550874   
0.408042   1.18025   2.68095   0.0529546   
0.46188   1.2358   2.65735   0.0538382   
0.518552   1.3043   2.62233   0.0566716   
0.579827   1.39083   2.57028   0.0612756   
0.647829   1.50301   2.49233   0.0680017   
0.722053   1.64553   2.3801   0.0742237   
0.795068   1.80555   2.24066   0.0730155   
0.866808   1.97908   2.07666   0.0717402   
0.940324   2.16715   1.88495   0.0735156   
1.02473   2.38085   1.64462   0.0844059   
1.08249   2.51293   1.47477   0.0577629   
1.12826   2.60121   1.34104   0.045767   
1.16875   2.66205   1.22555   0.0404897   
1.20455   2.69885   1.12701   0.0358015   
1.23724   2.7161   1.04084   0.0326876   
1.26923   2.71609   0.960668   0.0319868   
1.30029   2.69882   0.887215   0.0310636   
1.33152   2.66349   0.818091   0.0312332   
1.36495   2.60541   0.74966   0.0334227   
1.3997   2.52322   0.684775   0.034751   
1.43342   2.42343   0.627983   0.0337279   
1.46588   2.31072   0.579062   0.0324516   
1.49735   2.18812   0.536887   0.0314716   
1.52814   2.05809   0.500511   0.0307972   
1.55848   1.92303   0.469269   0.0303358   
1.58849   1.78541   0.442698   0.0300086   
1.61825   1.64764   0.420461   0.029766   
1.64783   1.51202   0.402311   0.0295799   
1.67727   1.38057   0.38807   0.029433   
1.70658   1.25506   0.377625   0.0293109   
1.73577   1.13693   0.370934   0.0291939   
1.76482   1.02736   0.368013   0.0290504   
1.79365   0.927253   0.368932   0.0288308   
1.82212   0.837293   0.373773   0.0284662   
1.85   0.757883   0.382585   0.0278799   
1.87702   0.68907   0.395317   0.0270193   
1.90166   0.633135   0.41089   0.0246363   
1.92585   0.584283   0.430268   0.024197   
1.94913   0.542717   0.453164   0.0232827   
1.9715   0.50756   0.479538   0.0223675   
1.99321   0.47768   0.509712   0.0217113   
2.01466   0.452065   0.544434   0.021442   
2.03626   0.429971   0.584917   0.0216055   
2.05846   0.41097   0.632896   0.0222005   
2.08166   0.394947   0.690685   0.023197   
2.10619   0.382104   0.761223   0.0245361   
2.13231   0.372951   0.847973   0.0261102   
2.15945   0.368324   0.952058   0.0271484   
2.18717   0.368816   1.07385   0.027713   
2.21515   0.374883   1.21323   0.0279859   
2.24313   0.386943   1.36866   0.0279745   
2.27079   0.405353   1.53671   0.0276632   
2.29786   0.430378   1.71219   0.0270739   
2.32271   0.460275   1.87915   0.0248487   
2.34703   0.49685   2.0435   0.0243136   
2.36907   0.537124   2.18889   0.022044   
2.39064   0.583936   2.32325   0.0215706   
2.41031   0.633751   2.43496   0.0196655   
2.4296   0.689938   2.53089   0.0192889   
